dt,csc
5,112
17,81
13,99
5,100
7,79
9,76
12,98
12,83
4,106
7,84
8,79
9,118
11,77
6,97
8,78
10,83
10,95
9,67
7,93
6,102
1,60
4,101
1,73
7,93
8,85
3,78
9,98
33,102
12,85
3,110
13,94
9,116
27,117
6,78
7,79
16,108
7,96
3,123
2,163
4,92
8,72
4,81
7,66
1,107
13,140
21,82
5,71
8,67
8,85
10,99
5,95
8,114
11,86
0,91
4,96
4,95
0,104
4,82
5,100
8,88
35,108
14,90
7,74
14,60
2,140
4,80
6,132
6,84
15,76
8,83
8,101
3,86
2,125
11,83
7,59
5,90
5,66
8,91
10,130
3,89
12,46
13,111
4,79
8,92
20,77
7,53
9,79
9,91
4,56
8,77
7,105
3,97
5,97
6,95
5,107
5,79
13,98
7,85
9,92
9,73
22,115
9,77
5,120
13,151
11,74
13,121
13,80
5,101
6,106
5,106
6,89
23,50
5,109
4,70
5,92
5,99
7,103
11,79
6,77
18,85
0,119
6,87
7,74
5,87
9,116
7,132
1,78
6,78
2,97
9,66
8,101
0,107
11,73
1,116
28,77
2,147
12,116
9,107
4,90
10,96
8,155
4,96
10,95
7,79
0,108
4,111
2,104
4,78
7,133
3,120
9,155
12,87
5,80
6,105
4,98
15,115
6,83
14,84
18,96
5,77
6,98
6,73
4,79
36,88
7,115
5,108
5,115
4,121
5,92
5,94
5,89
2,127
9,77
10,104
7,87
4,93
12,65
4,122
6,96
10,99
5,107
4,102
7,105
12,113
7,69
6,75
8,95
5,97
7,68
5,90
2,98
9,85
9,69
7,60
10,103
15,76
3,100
9,105
7,102
6,96
15,88
9,105
11,58
3,84
8,91
21,109
6,82
9,90
4,60
11,75
2,120
5,126
9,122
5,114
14,75
3,94
13,121
9,90
4,107
8,96
4,58
8,107
7,126
12,122
2,103
8,96
7,118
4,118
12,78
16,88
5,79
15,84
2,112
6,99
10,92
5,73
21,111
1,105
9,102
5,110
4,107
9,96
5,98
7,101
2,72
5,77
0,124
12,80
4,101
4,126
9,88
2,102
5,75
6,62
0,152
8,113
7,135
5,116
14,90
0,112
7,74
5,92
22,85
9,75
4,69
3,68
8,77
2,85
3,92
8,111
15,130
6,101
3,89
6,92
7,102
11,130
16,60
5,130
5,82
10,86
6,75
7,113
1,71
10,105
3,108
5,131
7,101
3,78
12,133
0,95
10,84
7,97
1,110
4,108
1,117
2,139
4,98
8,92
2,105
4,148
5,81
12,60
1,86
5,49
8,86
5,82
10,115
4,88
9,123
1,90
0,92
3,66
14,91
7,86
9,118
16,83
4,116
5,50
3,70
12,102
2,64
10,74
6,84
3,61
5,106
16,79
7,73
14,70
8,86
4,100
11,63
7,96
7,107
4,95
4,88
13,70
9,86
8,89
8,88
9,147
3,67
9,92
5,90
3,78
3,120
10,97
16,83
13,104
13,80
2,153
6,70
15,77
7,89
6,90
14,92
8,86
8,109
6,83
5,92
5,76
9,85
10,74
4,74
5,82
7,78
7,74
3,75
5,107
16,115
10,82
2,100
32,98
3,64
3,91
13,110
7,88
11,105
3,119
6,100
8,129
10,89
2,93
9,115
3,84
10,115
14,79
0,111
2,71
10,128
0,79
4,66
19,130
34,61
12,124
0,78
8,94
4,75
3,91
6,105
7,80
0,111
4,70
4,73
8,116
4,157
8,101
7,120
3,109
0,86
14,63
5,91
3,86
10,87
5,80
4,106
7,131
3,104
7,84
7,108
2,72
9,98
7,76
5,81
7,119
6,97
7,115
4,86
9,91
10,84
19,76
4,92
8,78
8,102
5,146
1,129
11,93
6,102
3,118
15,127
6,89
2,71
14,115
8,82
8,75
9,117
7,109
2,124
5,103
4,87
10,99
6,71
14,71
13,92
7,125
5,123
7,112
3,69
12,91
15,87
4,78
7,129
8,108
6,90
8,71
14,84
4,83
5,95
4,97
8,86
6,89
12,67
3,91
4,77
28,98
15,85
8,70
15,135
11,91
9,110
5,146
5,136
10,88
5,78
14,108
10,78
4,71
1,82
2,71
2,115
1,111
5,120
4,75
8,79
21,73
3,85
12,128
7,96
10,67
4,139
8,64
7,57
14,102
6,84
13,135
6,64
4,65
10,79
4,94
10,74
5,102
7,89
4,87
9,83
8,79
9,74
6,95
0,97
1,88
13,114
3,111
7,93
11,80
3,113
9,102
9,100
4,89
4,101
8,64
4,103
8,105
4,180
5,80
11,140
2,129
5,66
5,64
7,136
6,117
1,79
4,55
9,68
6,85
1,71
3,94
9,83
10,113
3,96
6,111
3,102
10,58
8,91
13,98
11,105
3,76
10,93
3,115
12,87
1,83
0,104
12,84
13,63
13,111
5,109
2,100
9,78
5,94
6,94
3,130
7,94
4,77
26,88
6,112
5,91
6,93
5,110
0,88
8,125
5,106
7,87
2,128
4,77
5,136
5,97
3,76
9,77
2,73
4,87
6,90
8,104
11,105
5,90
4,86
15,85
2,74
6,99
10,97
13,111
6,112
7,113
12,100
0,106
5,105
5,118
7,99
9,88
14,75
9,124
4,83
8,77
9,66
0,59
9,119
3,93
6,65
3,69
1,99
14,110
4,85
3,94
13,139
4,94
1,116
4,121
2,91
8,110
4,91
8,91
4,67
10,63
1,119
10,104
5,94
12,128
7,103
5,89
11,91
12,114
3,48
10,110
2,104
12,90
9,76
9,126
2,107
4,96
6,78
2,85
18,106
4,101
2,100
9,80
3,126
8,59
13,51
3,89
8,60
9,91
10,107
5,89
12,83
4,80
12,74
5,85
8,100
3,93
9,72
6,84
2,100
17,75
2,107
6,88
9,113
6,116
6,82
3,76
8,80
3,101
20,81
4,90
4,85
3,87
7,99
4,80
5,117
4,132
9,61
10,86
8,82
6,94
14,95
7,81
9,96
10,75
5,110
7,80
5,91
11,73
1,110
9,91
10,106
10,75
5,71
7,110
10,97
13,59
18,103
6,66
